year,candidate,star_candidate
2006,Abbat Serge,FALSE
2011,Adler Mark,FALSE
2008,Agrawal Anita,FALSE
2008,Alleslev Caroline,FALSE
2008,Almeida Carlos Santos,FALSE
2011,Andrews Diana,FALSE
2008,Baily Kurtis,FALSE
2011,Baker Paul William,FALSE
2011,Balack Mark,FALSE
2006,Bance Jerry,FALSE
2008,Bance Jerry,FALSE
2006,Barnes Paul,FALSE
2011,Barney Rachel,FALSE
2008,Barriffe Nigel,FALSE
2008,Bartley Alonzo,FALSE
2011,Bartley Alonzo,FALSE
2008,Becevello Jason,FALSE
2006,Bennett Carolyn,FALSE
2008,Bennett Carolyn,FALSE
2011,Bennett Carolyn,FALSE
2006,Bernardo Beverly,FALSE
2011,Borkowski Andrew,FALSE
2008,Borkowski Andrew,FALSE
2006,Boseovski Jovan,FALSE
2008,Boyden Johan,FALSE
2006,Boyden Johan,FALSE
2008,Boyer Patrick,FALSE
2006,Brett Andrew,FALSE
2006,Browes Pauline,FALSE
2008,Brown Chester,FALSE
2011,Brown Chester,FALSE
2011,Brownlee Nick,FALSE
2006,Brownridge Jeff,FALSE
2006,Bulte Sarmite Sam,FALSE
2011,Burrows Bill,FALSE
2006,Bussmann Alexander T.,FALSE
2011,Cameron Aaron,FALSE
2006,Cameron Cynthia,FALSE
2006,Campbell Peter,FALSE
2006,Cannis John,FALSE
2008,Cannis John,FALSE
2011,Cannis John,FALSE
2006,Capobianco John,FALSE
2008,Capra Nick,FALSE
2006,Capra Nick,FALSE
2008,Carcasole Lou,FALSE
2011,Carmichael John,FALSE
2008,Carmichael John,FALSE
2006,Carmichael John,FALSE
2006,Carnegie Rochelle,FALSE
2008,Carter Roger,FALSE
2011,Carter Roger,FALSE
2006,Carter Roger,FALSE
2011,Cash Andrew,FALSE
2006,Chapman Thom,FALSE
2011,Chatwin Justin,FALSE
2008,Chatwin Justin,FALSE
2011,Chisu Corneliu,FALSE
2011,Chow Olivia,TRUE
2006,Chow Olivia,TRUE
2008,Chow Olivia,TRUE
2008,Chue Rick,FALSE
2006,Churley Marilyn,FALSE
2008,Churley Marilyn,FALSE
2006,Cimesa Dragan,FALSE
2006,Clausen Kren,FALSE
2008,Clements Wayne,FALSE
2006,Clements Wayne,FALSE
2008,Cocelli Aydin,FALSE
2006,Cocon Axcel,FALSE
2006,Conroy Peter,FALSE
2008,Corail Dave,FALSE
2011,Corail Dave,FALSE
2011,Coulbeck Paul,FALSE
2006,Coy Peter,FALSE
2006,Coyne Deborah,FALSE
2011,Crawford Marie,FALSE
2008,Crawford Marie,FALSE
2008,Crompton Greg,FALSE
2006,Cullen Roy,FALSE
2006,Dale Gary,FALSE
2011,Daniel Joe,FALSE
2011,Day Sonny,FALSE
2006,De Angelis-Pater Maria,FALSE
2006,Deb Soumen,FALSE
2008,Derome Gerald,FALSE
2008,Di Carlo Anna,FALSE
2006,Di Carlo Anna,FALSE
2011,Di Carlo Anna,FALSE
2008,Dixon Stefan,FALSE
2011,Dixon Stefan,FALSE
2006,Dobson Tim,FALSE
2008,Dougherty Simon,FALSE
2006,Dryden Ken,TRUE
2008,Dryden Ken,TRUE
2011,Dryden Ken,TRUE
2008,Duncan Kirsty,FALSE
2011,Duncan Kirsty,FALSE
2006,Dundas Norman,FALSE
2011,Dvornyak Alex,FALSE
2008,Erdman Justin,FALSE
2011,Erickson Michael,FALSE
2011,Falardeau Judi,FALSE
2006,Farmer Kevin ,FALSE
2008,Fernandez Philip,FALSE
